label,gender,native_country,education,education_num,occupation,workclass,marital_status,race,age_buckets
0.0,Male,United-States,Bachelors,13,Adm-clerical,State-gov,Never-married,White,"(35,40]"
0.0,Male,United-States,Bachelors,13,Exec-managerial,Self-emp-not-inc,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,HS-grad,9,Handlers-cleaners,Private,Divorced,White,"(35,40]"
0.0,Male,United-States,11th,7,Handlers-cleaners,Private,Married-civ-spouse,Black,"(50,55]"
0.0,Female,Cuba,Bachelors,13,Prof-specialty,Private,Married-civ-spouse,Black,"(25,30]"
0.0,Female,United-States,Masters,14,Exec-managerial,Private,Married-civ-spouse,White,"(35,40]"
0.0,Female,Jamaica,9th,5,Other-service,Private,Married-spouse-absent,Black,"(45,50]"
1.0,Male,United-States,HS-grad,9,Exec-managerial,Self-emp-not-inc,Married-civ-spouse,White,"(50,55]"
1.0,Female,United-States,Masters,14,Prof-specialty,Private,Never-married,White,"(30,35]"
1.0,Male,United-States,Bachelors,13,Exec-managerial,Private,Married-civ-spouse,White,"(40,45]"
1.0,Male,United-States,Some-college,10,Exec-managerial,Private,Married-civ-spouse,Black,"(35,40]"
1.0,Male,India,Bachelors,13,Prof-specialty,State-gov,Married-civ-spouse,Asian-Pac-Islander,"(25,30]"
0.0,Female,United-States,Bachelors,13,Adm-clerical,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,Assoc-acdm,12,Sales,Private,Never-married,Black,"(30,35]"
0.0,Male,Mexico,7th-8th,4,Transport-moving,Private,Married-civ-spouse,Amer-Indian-Eskimo,"(30,35]"
0.0,Male,United-States,HS-grad,9,Farming-fishing,Self-emp-not-inc,Never-married,White,"(18,25]"
0.0,Male,United-States,HS-grad,9,Machine-op-inspct,Private,Never-married,White,"(30,35]"
0.0,Male,United-States,11th,7,Sales,Private,Married-civ-spouse,White,"(35,40]"
1.0,Female,United-States,Masters,14,Exec-managerial,Self-emp-not-inc,Divorced,White,"(40,45]"
1.0,Male,United-States,Doctorate,16,Prof-specialty,Private,Married-civ-spouse,White,"(35,40]"
0.0,Female,United-States,HS-grad,9,Other-service,Private,Separated,Black,"(50,55]"
0.0,Male,United-States,9th,5,Farming-fishing,Federal-gov,Married-civ-spouse,Black,"(30,35]"
0.0,Male,United-States,11th,7,Transport-moving,Private,Married-civ-spouse,White,"(40,45]"
0.0,Female,United-States,HS-grad,9,Tech-support,Private,Divorced,White,"(55,60]"
1.0,Male,United-States,Bachelors,13,Tech-support,Local-gov,Married-civ-spouse,White,"(55,60]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,HS-grad,9,Exec-managerial,Private,Divorced,White,"(35,40]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,Assoc-acdm,12,Protective-serv,Local-gov,Never-married,White,"(18,25]"
0.0,Male,United-States,Some-college,10,Sales,Private,Never-married,Black,"(18,25]"
0.0,Male,United-States,Bachelors,13,Exec-managerial,Private,Divorced,White,"(40,45]"
0.0,Male,United-States,Some-college,10,Adm-clerical,Federal-gov,Married-civ-spouse,White,"(25,30]"
0.0,Male,United-States,Some-college,10,Other-service,State-gov,Married-civ-spouse,Black,"(18,25]"
0.0,Male,Puerto-Rico,11th,7,Machine-op-inspct,Private,Never-married,White,"(45,50]"
0.0,Male,United-States,Some-college,10,Machine-op-inspct,Private,Never-married,White,"(18,25]"
0.0,Female,United-States,HS-grad,9,Adm-clerical,Private,Married-AF-spouse,White,"(18,25]"
0.0,Male,United-States,Assoc-acdm,12,Prof-specialty,Self-emp-not-inc,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,9th,5,Machine-op-inspct,Private,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,Bachelors,13,Prof-specialty,Self-emp-not-inc,Married-civ-spouse,White,"(50,55]"
0.0,Male,United-States,Bachelors,13,Tech-support,Private,Married-civ-spouse,White,"(18,25]"
0.0,Female,United-States,HS-grad,9,Adm-clerical,Private,Separated,White,"(45,50]"
0.0,Male,United-States,HS-grad,9,Handlers-cleaners,Private,Never-married,White,"(18,25]"
1.0,Male,United-States,Bachelors,13,Prof-specialty,Federal-gov,Married-civ-spouse,Black,"(55,60]"
0.0,Male,United-States,HS-grad,9,Machine-op-inspct,Private,Married-civ-spouse,White,"(50,55]"
0.0,Female,United-States,Masters,14,Exec-managerial,Private,Divorced,White,"(40,45]"
0.0,Male,United-States,Assoc-voc,11,Craft-repair,State-gov,Married-civ-spouse,White,"(40,45]"
0.0,Male,United-States,Assoc-voc,11,Prof-specialty,Private,Never-married,White,"(25,30]"
0.0,Female,United-States,Some-college,10,Exec-managerial,Private,Married-civ-spouse,Other,"(18,25]"
1.0,Female,Honduras,Prof-school,15,Prof-specialty,Private,Married-civ-spouse,White,"(45,50]"
1.0,Male,United-States,Bachelors,13,Exec-managerial,Federal-gov,Divorced,White,"(45,50]"
0.0,Male,United-States,HS-grad,9,Exec-managerial,Self-emp-inc,Divorced,White,"(45,50]"
1.0,Male,United-States,Some-college,10,Tech-support,Private,Married-civ-spouse,White,"(40,45]"
0.0,Male,Mexico,5th-6th,3,Machine-op-inspct,Private,Married-civ-spouse,White,"(45,50]"
0.0,Male,Puerto-Rico,Assoc-voc,11,Other-service,Private,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,HS-grad,9,Adm-clerical,Private,Married-civ-spouse,White,"(40,45]"
0.0,Male,United-States,HS-grad,9,Machine-op-inspct,Private,Married-civ-spouse,White,"(25,30]"
0.0,Male,United-States,Bachelors,13,Sales,Private,Married-civ-spouse,White,"(25,30]"
0.0,Male,United-States,HS-grad,9,Transport-moving,Private,Married-civ-spouse,White,"(45,50]"
1.0,Male,United-States,Doctorate,16,Prof-specialty,Private,Married-civ-spouse,White,"(40,45]"
0.0,Male,United-States,Some-college,10,Tech-support,Private,Divorced,White,"(25,30]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Married-civ-spouse,White,"(35,40]"
0.0,Female,United-States,Some-college,10,Adm-clerical,Private,Divorced,White,"(25,30]"
1.0,Female,United-States,HS-grad,9,Adm-clerical,Private,Married-civ-spouse,White,"(50,55]"
1.0,Male,United-States,Some-college,10,Exec-managerial,Self-emp-inc,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,Some-college,10,Prof-specialty,Private,Never-married,White,"(18,25]"
0.0,Female,United-States,Bachelors,13,Sales,Private,Separated,Black,"(30,35]"
1.0,Male,United-States,Bachelors,13,Sales,Self-emp-not-inc,Married-civ-spouse,White,"(25,30]"
0.0,Male,United-States,Some-college,10,Machine-op-inspct,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,Some-college,10,Prof-specialty,Private,Married-civ-spouse,White,"(65,90]"
0.0,Male,Mexico,HS-grad,9,Other-service,Private,Never-married,White,"(25,30]"
0.0,Male,United-States,Assoc-acdm,12,Adm-clerical,Private,Married-civ-spouse,White,"(35,40]"
0.0,Female,United-States,11th,7,Other-service,Private,Never-married,White,"(16,18]"
0.0,Male,United-States,7th-8th,4,Farming-fishing,Local-gov,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,HS-grad,9,Sales,Private,Never-married,White,"(16,18]"
0.0,Male,Cuba,Bachelors,13,Other-service,Private,Married-civ-spouse,White,"(50,55]"
0.0,Female,United-States,HS-grad,9,Other-service,Private,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,HS-grad,9,Sales,Private,Married-civ-spouse,White,"(55,60]"
1.0,Female,United-States,HS-grad,9,Craft-repair,Private,Divorced,White,"(40,45]"
0.0,Female,United-States,HS-grad,9,Sales,Private,Divorced,White,"(50,55]"
1.0,Male,United-States,HS-grad,9,Protective-serv,Local-gov,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,Masters,14,Prof-specialty,Private,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,9th,5,Sales,Private,Never-married,White,"(25,30]"
1.0,Female,United-States,Doctorate,16,Prof-specialty,Federal-gov,Never-married,White,"(40,45]"
0.0,Male,United-States,Assoc-voc,11,Prof-specialty,Private,Married-civ-spouse,White,"(55,60]"
0.0,Female,United-States,Some-college,10,Craft-repair,Private,Divorced,White,"(35,40]"
0.0,Female,United-States,Some-college,10,Machine-op-inspct,Private,Divorced,Black,"(25,30]"
1.0,Male,United-States,Bachelors,13,Protective-serv,Local-gov,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,Some-college,10,Handlers-cleaners,Local-gov,Never-married,White,"(25,30]"
1.0,Male,United-States,Doctorate,16,Prof-specialty,Self-emp-not-inc,Married-civ-spouse,White,"(45,50]"
1.0,Male,United-States,Some-college,10,Sales,Private,Married-civ-spouse,White,"(35,40]"
0.0,Female,England,Assoc-acdm,12,Exec-managerial,Private,Divorced,White,"(45,50]"
0.0,Male,United-States,HS-grad,9,Other-service,Federal-gov,Never-married,Black,"(30,35]"
1.0,Male,United-States,Masters,14,Exec-managerial,Private,Married-civ-spouse,White,"(65,90]"
1.0,Male,United-States,Bachelors,13,Exec-managerial,Private,Married-civ-spouse,White,"(40,45]"
0.0,Female,United-States,Masters,14,Prof-specialty,Self-emp-not-inc,Never-married,White,"(45,50]"
0.0,Female,United-States,Some-college,10,Tech-support,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Never-married,White,"(25,30]"
1.0,Male,United-States,HS-grad,9,Craft-repair,Self-emp-inc,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,11th,7,Handlers-cleaners,Private,Never-married,White,"(25,30]"
0.0,Female,United-States,HS-grad,9,Adm-clerical,Local-gov,Never-married,White,"(30,35]"
0.0,Male,United-States,HS-grad,9,Handlers-cleaners,Private,Married-civ-spouse,White,"(40,45]"
0.0,Male,United-States,Bachelors,13,Sales,Private,Never-married,White,"(18,25]"
1.0,Male,United-States,Prof-school,15,Prof-specialty,Private,Married-civ-spouse,White,"(35,40]"
1.0,Male,Canada,HS-grad,9,Other-service,Self-emp-not-inc,Married-civ-spouse,White,"(55,60]"
0.0,Female,United-States,Some-college,10,Sales,Private,Married-civ-spouse,White,"(25,30]"
0.0,Female,United-States,HS-grad,9,Machine-op-inspct,Private,Never-married,White,"(35,40]"
0.0,Male,United-States,9th,5,Handlers-cleaners,Private,Married-civ-spouse,White,"(50,55]"
0.0,Male,United-States,Some-college,10,Sales,Self-emp-inc,Married-civ-spouse,White,"(55,60]"
1.0,Male,United-States,Assoc-voc,11,Craft-repair,Local-gov,Married-civ-spouse,Black,"(45,50]"
0.0,Male,United-States,Some-college,10,Sales,Private,Married-civ-spouse,White,"(50,55]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Never-married,White,"(18,25]"
0.0,Female,United-States,Some-college,10,Other-service,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,Bachelors,13,Exec-managerial,Private,Married-civ-spouse,White,"(35,40]"
0.0,Male,Germany,Bachelors,13,Exec-managerial,Private,Never-married,Black,"(25,30]"
1.0,Male,United-States,Bachelors,13,Prof-specialty,State-gov,Married-civ-spouse,White,"(25,30]"
0.0,Male,United-States,Some-college,10,Other-service,Private,Never-married,Black,"(18,25]"
1.0,Female,United-States,Bachelors,13,Exec-managerial,Private,Married-civ-spouse,White,"(45,50]"
0.0,Female,United-States,Some-college,10,Adm-clerical,Private,Never-married,White,"(18,25]"
1.0,Male,United-States,Assoc-acdm,12,Adm-clerical,Private,Married-civ-spouse,White,"(30,35]"
0.0,Male,United-States,Some-college,10,Craft-repair,Private,Divorced,White,"(35,40]"
0.0,Female,United-States,Assoc-acdm,12,Sales,Private,Never-married,White,"(25,30]"
0.0,Female,United-States,HS-grad,9,Other-service,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Self-emp-not-inc,Married-civ-spouse,White,"(35,40]"
0.0,Male,United-States,Bachelors,13,Sales,Private,Married-civ-spouse,White,"(35,40]"
0.0,Female,United-States,Assoc-acdm,12,Tech-support,Private,Divorced,Black,"(45,50]"
1.0,Male,Iran,Masters,14,Prof-specialty,Federal-gov,Married-civ-spouse,White,"(35,40]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Self-emp-not-inc,Married-civ-spouse,White,"(40,45]"
0.0,Female,United-States,Assoc-voc,11,Adm-clerical,Private,Married-civ-spouse,White,"(25,30]"
0.0,Male,United-States,Some-college,10,Sales,Private,Never-married,White,"(18,25]"
1.0,Male,United-States,Some-college,10,Craft-repair,Private,Married-civ-spouse,Asian-Pac-Islander,"(45,50]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Self-emp-inc,Married-civ-spouse,White,"(60,65]"
0.0,Female,United-States,Some-college,10,Sales,Private,Never-married,White,"(25,30]"
0.0,Male,Mexico,Some-college,10,Other-service,Private,Never-married,White,"(18,25]"
1.0,Female,United-States,Assoc-voc,11,Prof-specialty,Private,Never-married,White,"(40,45]"
0.0,Male,United-States,Some-college,10,Tech-support,Private,Never-married,White,"(65,90]"
0.0,Female,United-States,HS-grad,9,Transport-moving,Private,Never-married,Black,"(30,35]"
0.0,Male,United-States,Some-college,10,Other-service,Private,Married-civ-spouse,White,"(18,25]"
0.0,Female,United-States,HS-grad,9,Other-service,Private,Widowed,White,"(35,40]"
0.0,Male,United-States,11th,7,Craft-repair,Private,Married-civ-spouse,White,"(60,65]"
0.0,Female,Mexico,Some-college,10,Adm-clerical,Local-gov,Divorced,White,"(45,50]"
0.0,Female,United-States,HS-grad,9,Adm-clerical,Private,Never-married,White,"(30,35]"
0.0,Female,Philippines,Bachelors,13,Exec-managerial,Private,Never-married,Asian-Pac-Islander,"(30,35]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Married-civ-spouse,White,"(45,50]"
0.0,Male,United-States,Bachelors,13,Handlers-cleaners,Private,Never-married,White,"(18,25]"
0.0,Male,United-States,Some-college,10,Sales,Self-emp-not-inc,Separated,Black,"(65,90]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Divorced,White,"(25,30]"
0.0,Male,United-States,Bachelors,13,Other-service,Private,Separated,Black,"(40,45]"
0.0,Female,United-States,HS-grad,9,Other-service,Private,Never-married,White,"(18,25]"
0.0,Female,United-States,Masters,14,Exec-managerial,Self-emp-inc,Divorced,Asian-Pac-Islander,"(40,45]"
0.0,Female,England,HS-grad,9,Exec-managerial,Private,Never-married,Asian-Pac-Islander,"(25,30]"
1.0,Male,United-States,Masters,14,Sales,Self-emp-not-inc,Married-civ-spouse,White,"(40,45]"
0.0,Female,Mexico,Some-college,10,Other-service,Private,Divorced,White,"(35,40]"
0.0,Male,United-States,Assoc-acdm,12,Exec-managerial,Federal-gov,Never-married,White,"(35,40]"
0.0,Male,United-States,Masters,14,Protective-serv,State-gov,Widowed,White,"(45,50]"
0.0,Male,United-States,11th,7,Handlers-cleaners,Private,Never-married,White,"(16,18]"
0.0,Female,United-States,Assoc-voc,11,Prof-specialty,Local-gov,Widowed,White,"(65,90]"
0.0,Male,United-States,HS-grad,9,Other-service,Private,Never-married,White,"(25,30]"
0.0,Male,United-States,HS-grad,9,Protective-serv,State-gov,Married-civ-spouse,White,"(25,30]"
1.0,Male,United-States,Some-college,10,Sales,Private,Married-civ-spouse,White,"(50,55]"
0.0,Male,United-States,Bachelors,13,Craft-repair,Private,Never-married,White,"(25,30]"
1.0,Male,United-States,Bachelors,13,Prof-specialty,State-gov,Married-civ-spouse,White,"(25,30]"
0.0,Female,United-States,HS-grad,9,Sales,Private,Married-spouse-absent,White,"(25,30]"
0.0,Male,United-States,HS-grad,9,Craft-repair,Private,Never-married,Black,"(18,25]"
0.0,Male,United-States,HS-grad,9,Handlers-cleaners,Private,Never-married,Black,"(30,35]"
0.0,Male,United-States,HS-grad,9,Other-service,Private,Never-married,White,"(16,18]"
0.0,Male,United-States,Bachelors,13,Prof-specialty,Private,Married-civ-spouse,White,"(30,35]"
1.0,Male,United-States,Some-college,10,Exec-managerial,Local-gov,Married-civ-spouse,Black,"(40,45]"
0.0,Female,United-States,Some-college,10,Adm-clerical,Private,Divorced,White,"(40,45]"
0.0,Male,United-States,Some-college,10,Craft-repair,Private,Never-married,Black,"(25,30]"
1.0,Male,Mexico,7th-8th,4,Machine-op-inspct,Private,Married-civ-spouse,White,"(35,40]"
1.0,Male,United-States,Some-college,10,Adm-clerical,Federal-gov,Married-civ-spouse,White,"(35,40]"
0.0,Male,United-States,HS-grad,9,Adm-clerical,Private,Married-civ-spouse,Black,"(30,35]"
0.0,Female,United-States,Bachelors,13,Exec-managerial,Self-emp-not-inc,Divorced,White,"(40,45]"
0.0,Female,United-States,Masters,14,Prof-specialty,Private,Married-civ-spouse,White,"(30,35]"
1.0,Male,United-States,Doctorate,16,Prof-specialty,State-gov,Married-civ-spouse,White,"(55,60]"
0.0,Female,United-States,Some-college,10,Machine-op-inspct,Private,Divorced,Black,"(35,40]"
